,title,id,year,vote_count,vote_average,popularity,genres,wr
15480,Inception,27205,2010,14075,8,29.108149,Action,7.917588057742396
12481,The Dark Knight,155,2008,12269,8,123.167259,Drama,7.905871457906355
22879,Interstellar,157336,2014,11187,8,32.213481,Adventure,7.897107402958818
2843,Fight Club,550,1999,9678,8,63.869599,Drama,7.881752880714441
4863,The Lord of the Rings: The Fellowship of the Ring,120,2001,8892,8,32.070725,,7.871786953654775
292,Pulp Fiction,680,1994,8670,8,140.950236,Crime,7.868660493166128
314,The Shawshank Redemption,278,1994,8358,8,51.645403,Drama,7.863999673542359
7000,The Lord of the Rings: The Return of the King,122,2003,8226,8,29.324358,Adventure,7.8619266893515505
351,Forrest Gump,13,1994,8147,8,48.307194,Comedy,7.860655533129522
5814,The Lord of the Rings: The Two Towers,121,2002,7641,8,29.423537,,7.851923855081663
256,Star Wars,11,1977,6778,8,42.149697,Adventure,7.834204815555245
1225,Back to the Future,105,1985,6239,8,25.778509,Comedy,7.8208129971204
834,The Godfather,238,1972,6024,8,41.109264,Drama,7.814847496095451
1154,The Empire Strikes Back,1891,1980,5998,8,19.470959,Action,7.814099056247579
46,Se7en,807,1995,5915,8,18.45743,Thriller,7.81166878717663
24860,The Imitation Game,205596,2014,5895,8,31.59594,History,7.811073649831636
359,The Lion King,8587,1994,5520,8,21.605761,Drama,7.799174526332621
18465,The Intouchables,77338,2011,5410,8,16.086919,Comedy,7.7953944438371705
22841,The Grand Budapest Hotel,120467,2014,4644,8,14.442048,Drama,7.764530352458532
586,The Silence of the Lambs,274,1991,4549,8,4.307222,Thriller,7.760041165921017
11354,The Prestige,1124,2006,4510,8,16.94556,Drama,7.758148286768694
522,Schindlers List,424,1993,4436,8,41.725123,History,7.754473332604605
23673,Whiplash,244786,2014,4376,8,64.29999,Drama,7.7514106298928125
289,Leon: The Professional,101,1994,4293,8,20.477329,Thriller,7.747045722399921
4099,Memento,77,2000,4168,8,15.450789,Thriller,7.7401749521478544
